hvfhs_license_num,dispatching_base_num,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,SR_Flag
HV0005,B02510,2020-03-01 00:03:40,2020-03-01 00:23:39,81,159,
HV0005,B02510,2020-03-01 00:28:05,2020-03-01 00:38:57,168,119,
HV0003,B02764,2020-03-01 00:03:07,2020-03-01 00:15:04,137,209,1
HV0003,B02764,2020-03-01 00:18:42,2020-03-01 00:38:42,209,80,
HV0003,B02764,2020-03-01 00:44:24,2020-03-01 00:58:44,256,226,
HV0003,B02682,2020-03-01 00:17:23,2020-03-01 00:39:35,79,263,
HV0003,B02764,2020-03-01 00:01:18,2020-03-01 00:38:52,61,29,
HV0003,B02764,2020-03-01 00:43:27,2020-03-01 00:47:27,150,150,1
HV0003,B02764,2020-03-01 00:52:23,2020-03-01 01:00:15,150,210,
HV0003,B02764,2020-03-01 00:19:49,2020-03-01 00:23:40,60,167,
HV0003,B02764,2020-03-01 00:29:34,2020-03-01 00:39:19,47,213,
HV0003,B02764,2020-03-01 00:41:44,2020-03-01 00:58:13,213,235,
HV0003,B02765,2020-03-01 00:11:26,2020-03-01 00:24:46,243,153,
HV0003,B02765,2020-03-01 00:28:05,2020-03-01 00:38:56,127,18,
HV0003,B02765,2020-03-01 00
