Dispatching_base_num,Pickup_date,locationID
B00001,2016-09-01 05:15:00,
B00001,2016-09-01 05:15:00,
B00001,2016-09-01 06:15:00,
B00001,2016-09-01 07:00:00,
B00001,2016-09-01 07:30:00,
B00001,2016-09-01 08:00:00,
B00001,2016-09-01 08:00:00,
B00001,2016-09-01 08:15:00,
B00001,2016-09-01 08:15:00,
B00001,2016-09-01 09:05:00,
B00001,2016-09-01 09:10:00,
B00001,2016-09-01 09:15:00,
B00001,2016-09-01 09:30:00,
B00001,2016-09-01 09:30:00,
B00001,2016-09-01 09:57:00,
B00001,2016-09-01 10:00:00,
B00001,2016-09-01 10:15:00,
B00001,2016-09-01 10:15:00,
B00001,2016-09-01 10:30:00,
B00001,2016-09-01 10:30:00,
B00001,2016-09-01 11:45:00,
B00001,2016-09-01 12:12:00,
B00001,2016-09-01 12:15:00,
B00001,2016-09-01 12:26:00,
B00001,2016-09-01 12:30:00,
B00001,2016-09-01 12:30:00,
B00001,2016-09-01 13:00:00,
B00001,2016-09-01 13:10:00,
B00001,2016-09-01 13:12:00,
B00001,2016-09-01 13:30:00,
B00001,2016-09-01 13:45:00,
B00001,2016-09-01 14:15:00,
B00001,2016-09-01 14:29:00,
B00001,2016-09-01 15:1
