hvfhs_license_num,dispatching_base_num,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,SR_Flag
HV0002,B03035,2019-11-01 00:18:05,2019-11-01 00:35:35,230,243,
HV0003,B02765,2019-11-01 00:27:51,2019-11-01 00:51:07,148,263,
HV0005,B02510,2019-11-01 00:38:31,2019-11-01 00:49:01,180,63,
HV0005,B02510,2019-11-01 00:59:38,2019-11-01 01:26:26,180,112,
HV0005,B02510,2019-11-01 00:13:25,2019-11-01 00:24:09,90,164,
HV0005,B02510,2019-11-01 00:30:05,2019-11-01 00:48:28,164,4,
HV0005,B02510,2019-11-01 00:50:49,2019-11-01 01:31:40,4,179,1
HV0005,B02510,2019-11-01 00:05:38,2019-11-01 00:16:45,144,34,1
HV0005,B02510,2019-11-01 00:19:43,2019-11-01 00:30:29,34,181,
HV0005,B02510,2019-11-01 00:15:39,2019-11-01 00:49:49,231,225,1
HV0005,B02510,2019-11-01 00:20:19,2019-11-01 00:43:29,144,17,1
HV0005,B02510,2019-11-01 00:23:15,2019-11-01 01:00:19,144,72,1
HV0005,B02510,2019-11-01 00:22:47,2019-11-01 00:29:44,263,74,1
HV0003,B02836,2019-11-01 00:05:36,2019-11-01 00:19:06,161,145,
HV0003,B02836,2019-11-01 0
