Dispatching_base_num,Pickup_date,locationID
B00001,2015-08-01 05:50:00,
B00001,2015-08-01 06:30:00,
B00001,2015-08-01 07:00:00,
B00001,2015-08-01 07:30:00,
B00001,2015-08-01 07:45:00,
B00001,2015-08-01 08:15:00,
B00001,2015-08-01 09:32:00,
B00001,2015-08-01 10:00:00,
B00001,2015-08-01 10:00:00,
B00001,2015-08-01 11:00:00,
B00001,2015-08-01 11:45:00,
B00001,2015-08-01 13:00:00,
B00001,2015-08-01 13:00:00,
B00001,2015-08-01 13:00:00,
B00001,2015-08-01 13:01:00,
B00001,2015-08-01 14:30:00,
B00001,2015-08-01 14:54:00,
B00001,2015-08-01 15:50:00,
B00001,2015-08-01 17:40:00,
B00001,2015-08-01 18:20:00,
B00001,2015-08-01 19:15:00,
B00001,2015-08-01 19:30:00,
B00001,2015-08-01 19:35:00,
B00001,2015-08-01 19:45:00,
B00001,2015-08-01 20:10:00,
B00001,2015-08-01 22:09:00,
B00001,2015-08-02 05:30:00,
B00001,2015-08-02 06:00:00,
B00001,2015-08-02 06:30:00,
B00001,2015-08-02 06:30:00,
B00001,2015-08-02 07:30:00,
B00001,2015-08-02 08:45:00,
B00001,2015-08-02 10:00:00,
B00001,2015-08-02 11:0
