Dispatching_base_num,Pickup_date,locationID
B00001,2015-09-01 04:45:00,
B00001,2015-09-01 05:00:00,
B00001,2015-09-01 05:15:00,
B00001,2015-09-01 05:50:00,
B00001,2015-09-01 06:00:00,
B00001,2015-09-01 06:00:00,
B00001,2015-09-01 06:15:00,
B00001,2015-09-01 07:00:00,
B00001,2015-09-01 07:00:00,
B00001,2015-09-01 08:00:00,
B00001,2015-09-01 09:00:00,
B00001,2015-09-01 09:00:00,
B00001,2015-09-01 09:00:00,
B00001,2015-09-01 09:05:00,
B00001,2015-09-01 09:15:00,
B00001,2015-09-01 09:30:00,
B00001,2015-09-01 09:40:00,
B00001,2015-09-01 09:45:00,
B00001,2015-09-01 10:00:00,
B00001,2015-09-01 10:45:00,
B00001,2015-09-01 10:45:00,
B00001,2015-09-01 11:00:00,
B00001,2015-09-01 11:00:00,
B00001,2015-09-01 11:00:00,
B00001,2015-09-01 12:00:00,
B00001,2015-09-01 12:04:00,
B00001,2015-09-01 12:09:00,
B00001,2015-09-01 12:15:00,
B00001,2015-09-01 12:18:00,
B00001,2015-09-01 14:00:00,
B00001,2015-09-01 14:00:00,
B00001,2015-09-01 14:15:00,
B00001,2015-09-01 14:30:00,
B00001,2015-09-01 14:3
