hvfhs_license_num,dispatching_base_num,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,SR_Flag
HV0003,B02884,2019-12-01 00:16:23,2019-12-01 00:24:47,42,41,1
HV0003,B02884,2019-12-01 00:36:01,2019-12-01 00:47:28,236,166,
HV0003,B02884,2019-12-01 00:54:48,2019-12-01 01:11:15,238,78,
HV0003,B02764,2019-12-01 00:48:19,2019-12-01 01:00:16,148,125,1
HV0003,B02765,2019-12-01 00:08:55,2019-12-01 00:26:26,138,137,
HV0003,B02765,2019-12-01 00:32:33,2019-12-01 00:47:06,164,141,
HV0003,B02764,2019-12-01 00:18:15,2019-12-01 00:38:07,25,263,1
HV0003,B02764,2019-12-01 00:40:46,2019-12-01 00:52:38,263,226,
HV0005,B02510,2019-12-01 00:12:55,2019-12-01 00:17:23,60,167,
HV0003,B02864,2019-12-01 00:02:23,2019-12-01 00:26:35,126,173,
HV0003,B02864,2019-12-01 00:31:05,2019-12-01 00:49:27,129,126,
HV0003,B02864,2019-12-01 00:51:14,2019-12-01 00:57:19,126,248,
HV0005,B02510,2019-12-01 00:10:08,2019-12-01 00:15:50,234,107,1
HV0005,B02510,2019-12-01 00:13:02,2019-12-01 00:31:58,137,45,1
HV0005,B02510,2019-12-
