Dispatching_base_num,Pickup_date,locationID
B00008,2016-08-01 00:00:00,
B00008,2016-08-01 00:00:00,
B00008,2016-08-01 00:10:00,
B00008,2016-08-01 00:50:00,
B00008,2016-08-01 01:20:00,
B00008,2016-08-01 01:20:00,
B00008,2016-08-01 02:20:00,
B00008,2016-08-01 02:50:00,
B00008,2016-08-01 03:00:00,
B00008,2016-08-01 03:00:00,
B00008,2016-08-01 03:20:00,
B00008,2016-08-01 03:30:00,
B00008,2016-08-01 03:30:00,
B00008,2016-08-01 03:30:00,
B00008,2016-08-01 03:30:00,
B00008,2016-08-01 03:50:00,
B00008,2016-08-01 04:00:00,
B00008,2016-08-01 04:00:00,
B00008,2016-08-01 04:30:00,
B00008,2016-08-01 04:30:00,
B00008,2016-08-01 05:00:00,
B00008,2016-08-01 05:00:00,
B00008,2016-08-01 05:00:00,
B00008,2016-08-01 05:00:00,
B00008,2016-08-01 05:00:00,
B00008,2016-08-01 05:10:00,
B00008,2016-08-01 05:10:00,
B00008,2016-08-01 05:30:00,
B00008,2016-08-01 05:30:00,
B00008,2016-08-01 05:30:00,
B00008,2016-08-01 05:40:00,
B00008,2016-08-01 06:00:00,
B00008,2016-08-01 06:30:00,
B00008,2016-08-01 06:5
