Dispatching_base_num,Pickup_date,locationID
B00001,2016-10-01 05:15:00,
B00001,2016-10-01 06:00:00,
B00001,2016-10-01 08:45:00,
B00001,2016-10-01 08:45:00,
B00001,2016-10-01 09:00:00,
B00001,2016-10-01 10:45:00,
B00001,2016-10-01 11:00:00,
B00001,2016-10-01 12:00:00,
B00001,2016-10-01 12:15:00,
B00001,2016-10-01 12:30:00,
B00001,2016-10-01 13:05:00,
B00001,2016-10-01 13:30:00,
B00001,2016-10-01 14:05:00,
B00001,2016-10-01 14:15:00,
B00001,2016-10-01 14:25:00,
B00001,2016-10-01 14:45:00,
B00001,2016-10-01 15:00:00,
B00001,2016-10-01 15:15:00,
B00001,2016-10-01 16:20:00,
B00001,2016-10-01 16:30:00,
B00001,2016-10-01 16:45:00,
B00001,2016-10-01 17:15:00,
B00001,2016-10-01 17:20:00,
B00001,2016-10-01 18:11:00,
B00001,2016-10-01 18:30:00,
B00001,2016-10-01 18:45:00,
B00001,2016-10-01 19:00:00,
B00001,2016-10-01 19:14:00,
B00001,2016-10-01 19:20:00,
B00001,2016-10-01 19:20:00,
B00001,2016-10-01 19:30:00,
B00001,2016-10-01 21:00:00,
B00001,2016-10-01 21:00:00,
B00001,2016-10-01 21:3
