Dispatching_base_num,Pickup_date,locationID
B00001,2015-04-01 04:30:00,
B00001,2015-04-01 06:00:00,
B00001,2015-04-01 06:00:00,
B00001,2015-04-01 06:00:00,
B00001,2015-04-01 06:15:00,
B00001,2015-04-01 06:15:00,
B00001,2015-04-01 06:30:00,
B00001,2015-04-01 07:25:00,
B00001,2015-04-01 07:30:00,
B00001,2015-04-01 08:00:00,
B00001,2015-04-01 08:00:00,
B00001,2015-04-01 08:00:00,
B00001,2015-04-01 08:15:00,
B00001,2015-04-01 08:15:00,
B00001,2015-04-01 08:15:00,
B00001,2015-04-01 08:15:00,
B00001,2015-04-01 08:30:00,
B00001,2015-04-01 08:30:00,
B00001,2015-04-01 08:30:00,
B00001,2015-04-01 08:45:00,
B00001,2015-04-01 09:15:00,
B00001,2015-04-01 09:45:00,
B00001,2015-04-01 09:50:00,
B00001,2015-04-01 10:00:00,
B00001,2015-04-01 10:00:00,
B00001,2015-04-01 10:00:00,
B00001,2015-04-01 10:45:00,
B00001,2015-04-01 11:00:00,
B00001,2015-04-01 11:00:00,
B00001,2015-04-01 11:45:00,
B00001,2015-04-01 11:45:00,
B00001,2015-04-01 12:00:00,
B00001,2015-04-01 12:00:00,
B00001,2015-04-01 12:3
