hvfhs_license_num,dispatching_base_num,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,SR_Flag
HV0003,B02764,2019-09-01 00:10:02,2019-09-01 00:17:07,136,169,
HV0003,B02764,2019-09-01 00:22:37,2019-09-01 00:31:53,169,18,
HV0003,B02764,2019-09-01 00:36:03,2019-09-01 01:04:01,94,198,
HV0005,B02510,2019-09-01 00:04:04,2019-09-01 00:26:58,114,112,
HV0005,B02510,2019-09-01 00:33:15,2019-09-01 00:41:07,112,112,1
HV0003,B02765,2019-09-01 00:45:03,2019-09-01 00:50:29,80,112,
HV0003,B02765,2019-09-01 00:52:17,2019-09-01 01:13:29,112,107,
HV0004,B02800,2019-09-01 00:06:19,2019-09-01 00:23:38,50,42,1
HV0004,B02800,2019-09-01 00:33:30,2019-09-01 01:11:14,42,97,
HV0003,B02764,2019-09-01 00:07:03,2019-09-01 00:13:04,137,79,
HV0003,B02764,2019-09-01 00:16:49,2019-09-01 00:44:51,79,265,
HV0003,B02835,2019-09-01 00:01:24,2019-09-01 00:19:44,170,166,
HV0003,B02835,2019-09-01 00:22:54,2019-09-01 00:33:31,166,41,
HV0003,B02835,2019-09-01 00:43:34,2019-09-01 00:56:56,74,159,
HV0003,B02864,2019-09-01 00:10
