Dispatching_base_num,Pickup_date,locationID
B00013,2015-01-01 00:30:00,
B00013,2015-01-01 01:22:00,
B00013,2015-01-01 01:23:00,
B00013,2015-01-01 01:44:00,
B00013,2015-01-01 02:00:00,
B00013,2015-01-01 02:00:00,
B00013,2015-01-01 02:00:00,
B00013,2015-01-01 02:50:00,
B00013,2015-01-01 04:45:00,
B00013,2015-01-01 06:30:00,
B00013,2015-01-01 07:15:00,
B00013,2015-01-01 07:54:00,
B00013,2015-01-01 10:30:00,
B00013,2015-01-01 11:00:00,
B00013,2015-01-01 12:42:00,
B00013,2015-01-01 12:58:00,
B00013,2015-01-01 13:28:00,
B00013,2015-01-01 14:27:00,
B00013,2015-01-01 16:15:00,
B00013,2015-01-01 16:59:00,
B00013,2015-01-01 17:53:00,
B00013,2015-01-01 18:45:00,
B00013,2015-01-01 19:00:00,
B00013,2015-01-01 19:54:00,
B00013,2015-01-01 21:45:00,
B00013,2015-01-01 22:00:00,
B00013,2015-01-02 01:00:00,
B00013,2015-01-02 01:08:00,
B00013,2015-01-02 01:10:00,
B00013,2015-01-02 02:45:00,
B00013,2015-01-02 05:03:00,
B00013,2015-01-02 05:15:00,
B00013,2015-01-02 05:45:00,
B00013,2015-01-02 07:3
