Dispatching_base_num,Pickup_date,locationID
B00001,2015-07-01 04:45:00,
B00001,2015-07-01 05:00:00,
B00001,2015-07-01 06:00:00,
B00001,2015-07-01 06:15:00,
B00001,2015-07-01 06:15:00,
B00001,2015-07-01 06:30:00,
B00001,2015-07-01 06:45:00,
B00001,2015-07-01 06:45:00,
B00001,2015-07-01 06:45:00,
B00001,2015-07-01 07:00:00,
B00001,2015-07-01 07:00:00,
B00001,2015-07-01 08:00:00,
B00001,2015-07-01 08:00:00,
B00001,2015-07-01 08:00:00,
B00001,2015-07-01 08:15:00,
B00001,2015-07-01 08:30:00,
B00001,2015-07-01 08:45:00,
B00001,2015-07-01 08:45:00,
B00001,2015-07-01 09:00:00,
B00001,2015-07-01 10:00:00,
B00001,2015-07-01 10:45:00,
B00001,2015-07-01 10:50:00,
B00001,2015-07-01 11:00:00,
B00001,2015-07-01 11:30:00,
B00001,2015-07-01 11:45:00,
B00001,2015-07-01 11:45:00,
B00001,2015-07-01 12:15:00,
B00001,2015-07-01 12:25:00,
B00001,2015-07-01 12:30:00,
B00001,2015-07-01 12:30:00,
B00001,2015-07-01 12:40:00,
B00001,2015-07-01 13:00:00,
B00001,2015-07-01 13:30:00,
B00001,2015-07-01 13:5
