Dispatching_base_num,Pickup_date,locationID
B00001,2016-05-01 05:30:00,
B00001,2016-05-01 07:00:00,
B00001,2016-05-01 07:12:00,
B00001,2016-05-01 07:30:00,
B00001,2016-05-01 09:00:00,
B00001,2016-05-01 09:00:00,
B00001,2016-05-01 09:00:00,
B00001,2016-05-01 09:45:00,
B00001,2016-05-01 10:00:00,
B00001,2016-05-01 10:30:00,
B00001,2016-05-01 11:00:00,
B00001,2016-05-01 11:30:00,
B00001,2016-05-01 12:00:00,
B00001,2016-05-01 12:30:00,
B00001,2016-05-01 13:00:00,
B00001,2016-05-01 13:00:00,
B00001,2016-05-01 13:00:00,
B00001,2016-05-01 13:00:00,
B00001,2016-05-01 13:10:00,
B00001,2016-05-01 14:00:00,
B00001,2016-05-01 14:30:00,
B00001,2016-05-01 14:30:00,
B00001,2016-05-01 14:30:00,
B00001,2016-05-01 14:45:00,
B00001,2016-05-01 14:59:00,
B00001,2016-05-01 15:00:00,
B00001,2016-05-01 15:02:00,
B00001,2016-05-01 15:15:00,
B00001,2016-05-01 15:45:00,
B00001,2016-05-01 16:00:00,
B00001,2016-05-01 16:00:00,
B00001,2016-05-01 16:30:00,
B00001,2016-05-01 16:34:00,
B00001,2016-05-01 16:4
