Dispatching_base_num,Pickup_date,locationID
B00001,2016-04-01 05:00:00,
B00001,2016-04-01 05:30:00,
B00001,2016-04-01 06:15:00,
B00001,2016-04-01 06:30:00,
B00001,2016-04-01 07:15:00,
B00001,2016-04-01 07:15:00,
B00001,2016-04-01 07:45:00,
B00001,2016-04-01 08:00:00,
B00001,2016-04-01 08:00:00,
B00001,2016-04-01 08:30:00,
B00001,2016-04-01 08:30:00,
B00001,2016-04-01 09:00:00,
B00001,2016-04-01 09:00:00,
B00001,2016-04-01 09:30:00,
B00001,2016-04-01 09:30:00,
B00001,2016-04-01 09:30:00,
B00001,2016-04-01 10:00:00,
B00001,2016-04-01 10:00:00,
B00001,2016-04-01 10:30:00,
B00001,2016-04-01 11:00:00,
B00001,2016-04-01 11:00:00,
B00001,2016-04-01 11:15:00,
B00001,2016-04-01 12:15:00,
B00001,2016-04-01 12:20:00,
B00001,2016-04-01 12:30:00,
B00001,2016-04-01 12:30:00,
B00001,2016-04-01 12:30:00,
B00001,2016-04-01 13:00:00,
B00001,2016-04-01 13:00:00,
B00001,2016-04-01 13:00:00,
B00001,2016-04-01 13:00:00,
B00001,2016-04-01 13:30:00,
B00001,2016-04-01 14:00:00,
B00001,2016-04-01 14:4
