Dispatching_base_num,Pickup_date,locationID
B00008,2016-06-01 01:01:00,
B00008,2016-06-01 01:01:00,
B00008,2016-06-01 01:03:00,
B00008,2016-06-01 01:04:00,
B00008,2016-06-01 01:12:00,
B00008,2016-06-01 01:13:00,
B00008,2016-06-01 01:15:00,
B00008,2016-06-01 01:16:00,
B00008,2016-06-01 01:18:00,
B00008,2016-06-01 01:19:00,
B00008,2016-06-01 01:20:00,
B00008,2016-06-01 01:21:00,
B00008,2016-06-01 01:23:00,
B00008,2016-06-01 01:25:00,
B00008,2016-06-01 01:25:00,
B00008,2016-06-01 01:28:00,
B00008,2016-06-01 01:30:00,
B00008,2016-06-01 01:31:00,
B00008,2016-06-01 01:37:00,
B00008,2016-06-01 01:39:00,
B00008,2016-06-01 01:44:00,
B00008,2016-06-01 01:45:00,
B00008,2016-06-01 01:45:00,
B00008,2016-06-01 01:48:00,
B00008,2016-06-01 01:49:00,
B00008,2016-06-01 01:52:00,
B00008,2016-06-01 01:54:00,
B00008,2016-06-01 01:58:00,
B00008,2016-06-01 02:00:00,
B00008,2016-06-01 02:01:00,
B00008,2016-06-01 02:02:00,
B00008,2016-06-01 02:05:00,
B00008,2016-06-01 02:08:00,
B00008,2016-06-01 02:0
