Dispatching_base_num,Pickup_date,locationID
B00029,2015-03-01 00:02:00,213
B00029,2015-03-01 00:03:00,51
B00029,2015-03-01 00:11:00,3
B00029,2015-03-01 00:11:00,259
B00029,2015-03-01 00:13:00,174
B00029,2015-03-01 00:15:00,81
B00029,2015-03-01 00:16:00,3
B00029,2015-03-01 00:18:00,51
B00029,2015-03-01 00:24:00,254
B00029,2015-03-01 00:24:00,265
B00029,2015-03-01 00:28:00,254
B00029,2015-03-01 00:41:00,259
B00029,2015-03-01 00:47:00,3
B00029,2015-03-01 00:59:00,3
B00029,2015-03-01 01:05:00,51
B00029,2015-03-01 01:07:00,3
B00029,2015-03-01 01:18:00,3
B00029,2015-03-01 01:18:00,3
B00029,2015-03-01 01:23:00,265
B00029,2015-03-01 01:26:00,81
B00029,2015-03-01 01:28:00,3
B00029,2015-03-01 01:30:00,51
B00029,2015-03-01 01:40:00,3
B00029,2015-03-01 01:40:00,3
B00029,2015-03-01 01:42:00,200
B00029,2015-03-01 01:46:00,51
B00029,2015-03-01 01:52:00,81
B00029,2015-03-01 01:56:00,265
B00029,2015-03-01 02:00:00,126
B00029,2015-03-01 02:06:00,51
B00029,2015-03-01 02:21:00,259
B00029,2015-03-0
