Dispatching_base_num,Pickup_date,locationID
B00001,2016-01-01 00:30:00,
B00001,2016-01-01 00:30:00,
B00001,2016-01-01 02:30:00,
B00001,2016-01-01 07:00:00,
B00001,2016-01-01 08:45:00,
B00001,2016-01-01 09:00:00,
B00001,2016-01-01 10:30:00,
B00001,2016-01-01 11:09:00,
B00001,2016-01-01 11:15:00,
B00001,2016-01-01 11:30:00,
B00001,2016-01-01 12:45:00,
B00001,2016-01-01 13:00:00,
B00001,2016-01-01 14:00:00,
B00001,2016-01-01 14:25:00,
B00001,2016-01-01 14:45:00,
B00001,2016-01-01 16:40:00,
B00001,2016-01-01 17:18:00,
B00001,2016-01-01 18:15:00,
B00001,2016-01-01 18:47:00,
B00001,2016-01-01 18:50:00,
B00001,2016-01-01 22:00:00,
B00001,2016-01-01 23:20:00,
B00001,2016-01-02 00:42:00,
B00001,2016-01-02 04:30:00,
B00001,2016-01-02 06:00:00,
B00001,2016-01-02 08:15:00,
B00001,2016-01-02 09:15:00,
B00001,2016-01-02 10:00:00,
B00001,2016-01-02 11:15:00,
B00001,2016-01-02 11:45:00,
B00001,2016-01-02 12:25:00,
B00001,2016-01-02 12:50:00,
B00001,2016-01-02 13:15:00,
B00001,2016-01-02 14:0
