Dispatching_base_num,Pickup_DateTime,DropOff_datetime,PUlocationID,DOlocationID
B00001,2017-06-01 00:04:00,2017-06-07 01:55:36,,
B00001,2017-06-01 00:47:00,2017-06-09 01:25:40,,
B00001,2017-06-01 00:07:00,2017-06-15 00:52:17,,
B00001,2017-06-01 00:30:00,2017-06-03 02:18:52,,
B00001,2017-06-01 00:45:00,2017-06-10 01:49:42,,
B00001,2017-06-01 00:25:00,2017-06-19 00:58:48,,
B00013,2017-06-01 00:30:19,2017-06-01 00:33:34,,
B00013,2017-06-01 00:26:12,2017-06-02 00:27:45,,
B00014,2017-06-01 00:54:03,2017-06-01 01:18:57,,
B00014,2017-06-01 00:05:48,2017-06-02 00:06:12,,
B00014,2017-06-01 00:26:01,2017-06-02 00:29:38,,
B00014,2017-06-01 00:48:39,2017-06-01 00:48:47,,
B00014,2017-06-01 00:12:27,2017-06-01 00:51:24,,
B00014,2017-06-01 00:27:12,2017-06-01 00:27:26,,
B00014,2017-06-01 00:55:40,2017-06-01 01:20:56,,
B00014,2017-06-01 00:58:19,2017-06-01 01:04:04,,
B00014,2017-06-01 00:30:55,2017-06-01 00:31:18,,
B00021,2017-06-01 00:00:15,2017-06-01 00:05:42,173,173
B00021,2017-06-01 00:59:05,2017-06-01
