Dispatching_base_num,Pickup_DateTime,DropOff_datetime,PUlocationID,DOlocationID
B00008,2017-02-01 00:30:00,,,
B00008,2017-02-01 00:40:00,,,
B00009,2017-02-01 00:30:00,,,
B00013,2017-02-01 00:11:00,,,
B00013,2017-02-01 00:41:00,,,
B00013,2017-02-01 00:00:00,,,
B00013,2017-02-01 00:53:00,,,
B00013,2017-02-01 00:44:00,,,
B00013,2017-02-01 00:05:00,,,
B00013,2017-02-01 00:54:00,,,
B00014,2017-02-01 00:45:00,,,
B00014,2017-02-01 00:45:00,,,
B00014,2017-02-01 00:46:00,,,
B00014,2017-02-01 00:54:00,,,
B00014,2017-02-01 00:45:00,,,
B00014,2017-02-01 00:45:00,,,
B00014,2017-02-01 00:45:00,,,
B00014,2017-02-01 00:26:00,,,
B00014,2017-02-01 00:55:00,,,
B00014,2017-02-01 00:47:00,,,
B00014,2017-02-01 00:05:00,,,
B00014,2017-02-01 00:58:00,,,
B00014,2017-02-01 00:33:00,,,
B00014,2017-02-01 00:45:00,,,
B00014,2017-02-01 00:30:00,,,
B00014,2017-02-01 00:51:00,,,
B00014,2017-02-01 00:45:00,,,
B00014,2017-02-01 00:27:00,,,
B00014,2017-02-01 00:45:00,,,
B00014,2017-02-01 00:00:00,,,
B00014,2017-0
