hvfhs_license_num,dispatching_base_num,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,SR_Flag
HV0004,B02800,2019-03-01 00:13:55,2019-03-01 00:28:51,36,80,1
HV0004,B02800,2019-03-01 00:23:58,2019-03-01 00:43:03,37,232,1
HV0005,B02510,2019-03-01 00:03:37,2019-03-01 00:15:09,25,62,
HV0003,B02884,2019-03-01 00:29:46,2019-03-01 00:50:43,65,262,
HV0003,B02884,2019-03-01 00:58:56,2019-03-01 01:20:47,140,196,
HV0003,B02765,2019-03-01 00:10:43,2019-03-01 00:34:29,161,252,
HV0002,B02914,2019-03-01 00:45:52,2019-03-01 01:02:48,209,189,
HV0003,B02764,2019-03-01 00:11:44,2019-03-01 00:44:27,186,160,1
HV0003,B02764,2019-03-01 00:16:57,2019-03-01 00:57:49,164,260,1
HV0003,B02764,2019-03-01 00:37:28,2019-03-01 00:46:56,229,107,
HV0003,B02764,2019-03-01 00:22:22,2019-03-01 00:50:32,61,39,1
HV0003,B02764,2019-03-01 00:27:39,2019-03-01 00:36:31,61,72,1
HV0003,B02764,2019-03-01 00:32:10,2019-03-01 00:42:20,61,71,1
HV0003,B02864,2019-03-01 00:06:55,2019-03-01 00:23:46,255,231,
HV0003,B02864,2019-03-01 0
