dispatching_base_num,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,SR_Flag
B00001,2019-01-01 00:30:00,2019-01-01 02:51:55,,,
B00001,2019-01-01 00:45:00,2019-01-01 00:54:49,,,
B00001,2019-01-01 00:15:00,2019-01-01 00:54:52,,,
B00008,2019-01-01 00:19:00,2019-01-01 00:39:00,,,
B00008,2019-01-01 00:27:00,2019-01-01 00:37:00,,,
B00008,2019-01-01 00:48:00,2019-01-01 01:02:00,,,
B00008,2019-01-01 00:50:00,2019-01-01 00:59:00,,,
B00008,2019-01-01 00:51:00,2019-01-01 00:56:00,,,
B00009,2019-01-01 00:44:00,2019-01-01 00:58:00,,,
B00009,2019-01-01 00:19:00,2019-01-01 00:36:00,,,
B00009,2019-01-01 00:36:00,2019-01-01 00:49:00,,,
B00009,2019-01-01 00:26:00,2019-01-01 00:32:00,,,
B00009,2019-01-01 00:26:00,2019-01-01 00:36:00,,,
B00009,2019-01-01 00:58:00,2019-01-01 01:05:00,,,
B00013,2019-01-01 00:02:29,2019-01-02 00:25:30,,,
B00013,2019-01-01 00:01:33,2019-01-02 00:18:16,,,
B00037,2019-01-01 00:02:43,2019-01-01 00:10:14,,265,
B00037,2019-01-01 00:26:02,2019-01-01 00:37:00,,265,
B00037,2019
