"Pickup_DateTime","DropOff_datetime","PUlocationID","DOlocationID","SR_Flag","Dispatching_base_number","Dispatching_base_num"
"2018-01-30 21:06:50","2018-01-30 21:15:34","56","129","","B02884",""
"2018-01-30 21:20:36","2018-01-30 21:35:29","129","112","","B02884",""
"2018-01-30 21:04:45","2018-01-30 21:16:34","47","42","","B02884",""
"2018-01-30 21:11:51","2018-01-30 21:40:35","49","131","","B02884",""
"2018-01-30 21:43:39","2018-01-30 21:49:59","98","121","","B02884",""
"2018-01-30 21:36:53","2018-01-30 21:44:55","235","235","","B02884",""
"2018-01-30 21:48:30","2018-01-30 21:51:30","169","235","","B02884",""
"2018-01-30 21:55:18","2018-01-30 22:15:28","235","208","","B02884",""
"2018-01-30 21:21:25","2018-01-30 21:46:49","231","265","","B02884",""
"2018-01-30 21:24:37","2018-01-30 21:35:23","123","29","","B02884",""
"2018-01-30 21:39:49","2018-01-30 21:49:52","29","21","","B02884",""
"2018-01-30 21:50:14","2018-01-30 22:02:50","","","","B02914",""
"2018-01-30 21:20:57","2018-01-30 21:44:27","",
