hvfhs_license_num,dispatching_base_num,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,SR_Flag
HV0003,B02884,2019-07-01 00:12:33,2019-07-01 00:25:00,228,89,
HV0003,B02884,2019-07-01 00:41:26,2019-07-01 00:51:21,97,188,
HV0003,B02870,2019-07-01 00:18:50,2019-07-01 00:32:48,81,220,
HV0005,B02510,2019-07-01 00:05:12,2019-07-01 00:19:26,78,69,
HV0005,B02510,2019-07-01 00:29:01,2019-07-01 00:45:50,69,239,
HV0005,B02510,2019-07-01 00:56:07,2019-07-01 01:14:44,48,42,
HV0005,B02510,2019-07-01 00:51:54,2019-07-01 00:59:50,228,14,
HV0003,B02865,2019-07-01 00:06:03,2019-07-01 00:33:55,112,14,
HV0003,B02764,2019-07-01 00:06:47,2019-07-01 00:16:47,7,226,
HV0003,B02764,2019-07-01 00:54:12,2019-07-01 01:12:17,226,129,1
HV0003,B02682,2019-07-01 00:06:09,2019-07-01 00:54:02,161,265,
HV0003,B02872,2019-07-01 00:43:01,2019-07-01 00:49:52,71,62,
HV0003,B02872,2019-07-01 00:58:11,2019-07-01 01:38:38,188,56,
HV0003,B02764,2019-07-01 00:01:42,2019-07-01 00:12:47,226,83,1
HV0003,B02764,2019-07-01 00:08:50,2
