Dispatching_base_num,Pickup_DateTime,DropOff_datetime,PUlocationID,DOlocationID
B00001,2017-01-01 00:30:00,,,
B00001,2017-01-01 00:30:00,,,
B00008,2017-01-01 00:50:00,,,
B00009,2017-01-01 00:10:00,,,
B00009,2017-01-01 00:50:00,,,
B00014,2017-01-01 00:10:00,,,
B00014,2017-01-01 00:05:00,,,
B00014,2017-01-01 00:10:00,,,
B00014,2017-01-01 00:50:00,,,
B00014,2017-01-01 00:15:00,,,
B00014,2017-01-01 00:05:00,,,
B00029,2017-01-01 00:56:00,,174,
B00029,2017-01-01 00:01:00,,3,
B00029,2017-01-01 00:16:00,,51,
B00029,2017-01-01 00:22:00,,3,
B00029,2017-01-01 00:46:00,,185,
B00037,2017-01-01 00:34:00,,,
B00037,2017-01-01 00:42:00,,,
B00037,2017-01-01 00:57:00,,,
B00037,2017-01-01 00:36:00,,,
B00037,2017-01-01 00:24:00,,,
B00037,2017-01-01 00:55:00,,,
B00037,2017-01-01 00:12:00,,,
B00037,2017-01-01 00:24:00,,,
B00037,2017-01-01 00:48:00,,,
b00056,2017-01-01 00:14:00,,,
b00056,2017-01-01 00:21:00,,,
b00056,2017-01-01 00:12:00,,,
b00056,2017-01-01 00:57:00,,,
b00056,2017-01-01 00:45:00,,,
b00
