dispatching_base_num,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,SR_Flag
B00001,2020-01-01 00:30:00,2020-01-01 01:44:00,264,264,
B00001,2020-01-01 00:30:00,2020-01-01 00:47:00,264,264,
B00009,2020-01-01 00:48:00,2020-01-01 01:19:00,264,264,
B00009,2020-01-01 00:34:00,2020-01-01 00:43:00,264,264,
B00009,2020-01-01 00:23:00,2020-01-01 00:32:00,264,264,
B00009,2020-01-01 00:52:00,2020-01-01 01:01:00,264,264,
B00013,2020-01-01 00:20:30,2020-01-01 00:45:52,264,264,
B00013,2020-01-01 00:08:15,2020-01-01 00:12:03,264,264,
B00013,2020-01-01 00:40:30,2020-01-01 01:06:23,264,264,
B00014,2020-01-01 00:53:04,2020-01-01 01:19:13,264,264,
B00031,2020-01-01 00:03:00,2020-01-01 00:05:00,264,264,
B00037,2020-01-01 00:37:39,2020-01-01 00:47:36,264,61,
B00037,2020-01-01 00:58:29,2020-01-01 01:06:31,264,72,
B00037,2020-01-01 00:56:16,2020-01-01 01:06:23,264,91,
B00037,2020-01-01 00:08:33,2020-01-01 00:22:16,264,72,
B00037,2020-01-01 00:30:35,2020-01-01 00:38:41,264,61,
B00037,2020-01-01 00:46:03,2
