Dispatching_base_num,Pickup_DateTime,DropOff_datetime,PUlocationID,DOlocationID
B00001,2017-05-01 00:43:00,,,
B00014,2017-05-01 00:00:00,,,
B00014,2017-05-01 00:54:00,,,
B00021,2017-05-01 00:14:00,,92,
B00021,2017-05-01 00:09:00,,83,
B00021,2017-05-01 00:41:00,,223,
B00029,2017-05-01 00:24:00,,81,
B00029,2017-05-01 00:47:00,,265,0
B00037,2017-05-01 00:45:00,,,
B00037,2017-05-01 00:02:00,,,
B00037,2017-05-01 00:20:00,,,
B00037,2017-05-01 00:06:00,,,
B00037,2017-05-01 00:06:00,,,
B00037,2017-05-01 00:36:00,,,
B00039,2017-05-01 00:21:32,,,
B00111,2017-05-01 00:53:08,,,
B00111,2017-05-01 00:23:34,,,
B00111,2017-05-01 00:33:55,,,
B00112,2017-05-01 00:19:00,,,
B00112,2017-05-01 00:30:00,,,
B00149,2017-05-01 00:50:00,,,
B00221,2017-05-01 00:17:00,,,
B00221,2017-05-01 00:47:00,,,
B00221,2017-05-01 00:03:00,,,
B00221,2017-05-01 00:17:00,,,
B00221,2017-05-01 00:42:00,,,
B00221,2017-05-01 00:58:00,,,
B00221,2017-05-01 00:06:00,,,
B00221,2017-05-01 00:17:00,,,
B00225,2017-05-01 00:16:00,,,
